"","users","evcent","in.degree","out.degree","total.degree","betweenness","transitivity","coreness","turnover","p","n","s","n.pull","n.issue","n.issue.c","n.pull.c","n.commit","n.interactions"
"1",202799,0.0443033815496342,2,2,2,0,1,2,TRUE,0,0,0,2,0,0,2,8,12
"2",31223,0.240554926523912,102,102,102,13629.25,0.0326150262085032,8,TRUE,0,0,0,328,0,0,645,776,1749
"3",511063,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"4",382136,0.0436775660512269,2,2,2,0,1,2,TRUE,0,0,0,4,0,0,5,7,16
"5",25,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,2,0,0,0,2,4
"6",230541,1,484,484,484,134587.833333333,0.00468832879900074,14,FALSE,0,0,0,237,0,0,1591,2998,4826
"7",804355,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"8",275114,0.0437798732052425,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,1,0,2
"9",824534,0.0461222004744783,4,4,4,239.166666666667,0.5,2,TRUE,0,0,0,2,0,0,7,2,11
"10",156229,0.0718398482620295,9,9,9,2,0.833333333333333,8,TRUE,0,0,0,2,0,0,13,0,15
"11",147919,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,4,0,0,3,1,8
"12",135340,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"13",265902,0.0605591555081745,7,7,7,258.75,0.428571428571429,4,TRUE,0,0,0,12,0,0,14,11,37
"14",215318,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"15",12141,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"16",95340,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"17",17954,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"18",188562,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"19",37118,0.0623549581535415,6,6,6,0,1,6,TRUE,0,0,0,1,0,0,4,0,5
"20",181752,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"21",98601,0.0572067866373312,4,4,4,12.6666666666667,0.666666666666667,4,TRUE,0,0,0,5,0,0,15,4,24
"22",105151,9.34861434287988e-18,0,0,0,0,NaN,0,TRUE,0,0,0,1,0,0,0,5,6
"23",1714,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,2,3
"24",96189,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"25",87764,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,2,0,3
"26",400538,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,3,11,15
"27",579233,0.0541173584623697,5,5,5,830.000000000001,0.3,2,TRUE,0,0,0,9,0,0,17,11,37
"28",524923,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,1,0,2
"29",638,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,2,0,0,1,5,8
"30",2459,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,3,0,0,1,2,6
"31",76580,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"32",1086134,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"33",1118098,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,0,1
"34",44704,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"35",402462,0.053856863968338,4,4,4,541.166666666667,0.333333333333333,2,TRUE,0,0,0,9,0,0,13,3,25
"36",110784,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"37",125164,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,1,2
"38",1321644,0.0456724264753226,3,3,3,0,1,3,TRUE,0,0,0,1,0,0,6,0,7
"39",1247916,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"40",55631,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"41",46909,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,2,4
"42",69988,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,2,0,3
"43",472446,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,2,0,3
"44",16861,0.0436775660512269,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,0,0,1
"45",289174,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,3,6,10
"46",44155,0.0544537989392452,6,6,6,0,1,6,FALSE,0,0,0,1,0,0,0,0,1
"47",790763,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,7,0,8
"48",772,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"49",79334,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"50",479659,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"51",92839,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,2,0,0,1,1,4
"52",516006,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"53",7188,0.054184419743423,3,3,3,0,1,3,FALSE,0,0,0,1,0,0,1,1,3
"54",207988,0.0502637624665784,5,5,5,0,1,5,FALSE,0,0,0,1,0,0,3,0,4
"55",482364,0.0443033815496342,2,2,2,0,1,2,TRUE,0,0,0,1,0,0,8,0,9
"56",205036,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,0,1
"57",285675,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,3,0,0,2,0,5
"58",31372,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,2,0,3
"59",12149,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,3,4
"60",1175380,0.0607237878045762,6,6,6,28.3333333333333,0.6,4,TRUE,0,0,0,3,0,0,7,50,60
"61",696983,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,2,4
"62",207131,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,2,4
"63",388917,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,2,0,3
"64",106338,0.00225389220752262,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,2,0,3
"65",471903,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,2,7,10
"66",687961,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,1,2
"67",1423804,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"68",52850,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"69",1545348,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"70",136390,0.0579834323815227,5,5,5,36.5,0.7,4,FALSE,0,0,0,1,0,0,2,1,4
"71",113896,0.0607814952138769,8,8,8,1082.83333333333,0.321428571428571,4,TRUE,0,0,0,3,0,0,13,0,16
"72",77501,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,2,0,0,3,1,6
"73",14028,0.0436775660512269,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,1,0,2
"74",125636,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,1,2
"75",910956,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"76",29746,0.00265478777189646,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,2,0,3
"77",165906,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"78",57576,0.0566591536702626,4,4,4,0,1,4,TRUE,0,0,0,2,0,0,14,4,20
"79",95913,0.0527766648729249,6,6,6,3,0.6,4,TRUE,0,0,0,1,0,0,7,0,8
"80",41373,0.0520257569306503,6,6,6,3,0.6,4,TRUE,0,0,0,2,0,0,8,0,10
"81",222217,0.0533410963180968,6,6,6,0,1,6,FALSE,0,0,0,1,0,0,1,0,2
"82",82063,0.054644594461493,3,3,3,0,1,3,FALSE,0,0,0,1,0,0,1,0,2
"83",850871,0.0436775660512269,2,2,2,0,1,2,TRUE,0,0,0,1,0,0,5,0,6
"84",177816,0.0436775660512269,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,1,0,2
"85",695710,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"86",1082488,0.065180317022824,8,8,8,42,0.464285714285714,4,TRUE,0,0,0,8,0,0,25,2,35
"87",488342,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,1,0,2
"88",30147,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,3,0,4
"89",181635,0.0481906855532914,4,4,4,1,0.666666666666667,3,TRUE,0,0,0,2,0,0,7,3,12
"90",2205472,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
"91",2390091,9.34861434287988e-18,0,0,0,0,NaN,0,FALSE,0,0,0,1,0,0,0,0,1
"92",42500,0.0418496741445557,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,5,0,6
"93",586962,0.0418496741445557,1,1,1,0,NaN,1,FALSE,0,0,0,1,0,0,0,0,1
