"","users","evcent","in.degree","out.degree","total.degree","betweenness","transitivity","coreness","turnover","p","n","s","n.pull","n.issue","n.issue.c","n.pull.c","n.commit","n.interactions"
"1",15819,0.000131440328783179,1,1,1,0,NaN,1,FALSE,0,0,0,2,1,0,0,0,3
"2",5856,0.0019656892982589,3,3,3,0,1,3,FALSE,0,0,0,1,0,0,1,0,2
"3",9272,0.0132674181492169,26,26,26,0,1,26,FALSE,0,0,0,1,0,1,0,0,2
"4",10308,0.0260781552229565,36,36,36,3044.21118773954,0.426984126984127,20,TRUE,0,0,0,31,1,5,24,27,88
"5",4736,0.0311366669286603,17,17,17,1095.0625893509,0.522058823529412,15,TRUE,0,0,0,19,0,2,13,56,90
"6",136,0.000557947124033325,1,1,1,0,NaN,1,TRUE,0,0,0,2,0,0,0,7,9
"7",18524,0.084384749841149,157,157,157,26677.1760276706,0.185611628286788,34,TRUE,0,0,0,38,3,7,92,36,176
"8",188407,0.000131440328783179,1,1,1,0,NaN,1,TRUE,0,0,0,1,0,0,0,8,9
"9",5004,0.161868585569222,477,477,477,370806.757259719,0.0514595775417085,56,TRUE,0,0,0,24,0,227,180,517,948
"10",9818,0.00442143456994493,5,5,5,1175.654462676,0.5,4,TRUE,0,0,0,4,1,1,1,2,9
"11",5866,0.0385138291638115,55,55,55,19839.3799969161,0.28013468013468,19,TRUE,0,0,0,20,0,6,13,22,61
"12",7783,0.00742825589378948,27,27,27,74.5642005106687,0.931623931623932,26,TRUE,0,0,0,2,0,0,5,2,9
"13",14318,0.00435672918581854,5,5,5,41.8257857203919,0.7,5,TRUE,0,0,0,2,1,4,2,1,10
"14",4912,0.163912243306925,425,425,425,247240.963062882,0.0740621531631521,56,FALSE,0,0,0,140,3,94,177,200,614
"15",3238,0.00298606338544137,10,10,10,11.707573301135,0.844444444444444,9,FALSE,0,0,0,1,0,0,2,1,4
"16",479,0.0577124755249072,67,67,67,11450.1404091503,0.30890999547716,26,TRUE,0,0,0,6,2,8,11,6,33
"17",3359,0.0120579719609358,21,21,21,5261.57279448971,0.352380952380952,11,TRUE,0,0,0,14,1,3,5,472,495
"18",3052,0.00132806329266148,2,2,2,0,1,2,FALSE,0,0,0,1,0,0,1,2,4
"19",139536,0.792846012765549,216,216,216,22580.3895343802,0.471447028423773,142,TRUE,0,0,0,12,3,7,14,4,40
